first_name,last_name,title,release_year,category_id,actor_id,film_id
PENELOPE,GUINESS,ACADEMY DINOSAUR,2006,6,1,1
CHRISTIAN,GABLE,ACADEMY DINOSAUR,2006,6,10,1
LUCILLE,TRACY,ACADEMY DINOSAUR,2006,6,20,1
SANDRA,PECK,ACADEMY DINOSAUR,2006,6,30,1
BOB,FAWCETT,ACE GOLDFINGER,2006,11,19,2
NICK,WAHLBERG,ADAPTATION HOLES,2006,6,2,3
BOB,FAWCETT,ADAPTATION HOLES,2006,6,19,3
CAMERON,STREEP,ADAPTATION HOLES,2006,6,24,3
GOLDIE,BRODY,AFFAIR PREJUDICE,2006,13,39,4
TOM,MCKELLEN,AFRICAN EGG,2006,7,38,5
KIRSTEN,PALTROW,AGENT TRUMAN,2006,9,21,6
SANDRA,KILMER,AGENT TRUMAN,2006,9,23,6
FRED,COSTNER,AIRPLANE SIERRA,2006,7,16,7
TOM,MCKELLEN,AIRPORT POLLOCK,2006,13,38,8
CHRISTIAN,GABLE,ALABAMA DEVIL,2006,11,10,9
ELVIS,MARX,ALABAMA DEVIL,2006,11,22,9
RIP,CRAWFORD,ALABAMA DEVIL,2006,11,26,9
ALEC,WAYNE,ALADDIN CALENDAR,2006,15,29,10
JUDY,DEAN,ALADDIN CALENDAR,2006,15,35,10
VAL,BOLGER,ALADDIN CALENDAR,2006,15,37,10
VAL,BOLGER,ALAMO VIDEOTAPE,2006,14,37,11
VAL,BOLGER,ALASKA PHANTOM,2006,12,37,12
CUBA,OLIVIER,ALI FOREVER,2006,5,15,13
WOODY,HOFFMAN,ALICE FANTASIA,2006,4,28,14
BURT,DUKAKIS,ALIEN CENTER,2006,9,36,15
KARL,BERRY,ALLEY EVOLUTION,2006,9,12,16
ED,CHASE,ALONE TRIP,2006,12,3,17
KARL,BERRY,ALONE TRIP,2006,12,12,17
UMA,WOOD,ALONE TRIP,2006,12,13,17
VAL,BOLGER,ALTER VICTORY,2006,16,37,18
JOHNNY,LOLLOBRIGIDA,AMADEUS HOLY,2006,1,5,19
JULIA,MCQUEEN,AMADEUS HOLY,2006,1,27,19
VAL,BOLGER,AMADEUS HOLY,2006,1,37,19
BURT,DUKAKIS,AMELIE HELLFIGHTERS,2006,13,36,20
KEVIN,BLOOM,AMERICAN CIRCUS,2006,1,25,21
RIP,CRAWFORD,AMERICAN CIRCUS,2006,1,26,21
GOLDIE,BRODY,AMISTAD MIDSUMMER,2006,15,39,22
PENELOPE,GUINESS,ANACONDA CONFESSIONS,2006,2,1,23
JENNIFER,DAVIS,ANACONDA CONFESSIONS,2006,2,4,23
ELVIS,MARX,ANACONDA CONFESSIONS,2006,2,22,23
TOM,MCKELLEN,ANALYZE HOOSIERS,2006,11,38,24
PENELOPE,GUINESS,ANGELS LIFE,2006,13,1,25
JENNIFER,DAVIS,ANGELS LIFE,2006,13,4,25
GRACE,MOSTEL,ANGELS LIFE,2006,13,7,25
BURT,DUKAKIS,ANNIE IDENTITY,2006,8,36,26
GRACE,MOSTEL,ANONYMOUS HUMAN,2006,15,7,27
JUDY,DEAN,ANTHEM LUKE,2006,16,35,28
BETTE,NICHOLSON,ANTITRUST TOMATOES,2006,1,6,29
UMA,WOOD,ANTITRUST TOMATOES,2006,1,13,29
JOE,SWANK,ANYTHING SAVANNAH,2006,11,9,30
NICK,WAHLBERG,APACHE DIVINE,2006,8,2,31
CUBA,OLIVIER,APACHE DIVINE,2006,8,15,31
TOM,MCKELLEN,APOCALYPSE FLAMINGOS,2006,11,38,32
JUDY,DEAN,APOLLO TEEN,2006,7,35,33
KARL,BERRY,ARABIA DOGMA,2006,11,12,34
RIP,CRAWFORD,ARABIA DOGMA,2006,11,26,34
JULIA,MCQUEEN,ARABIA DOGMA,2006,11,27,34
GRACE,MOSTEL,ARACHNOPHOBIA ROLLERCOASTER,2006,11,7,35
JUDY,DEAN,ARACHNOPHOBIA ROLLERCOASTER,2006,11,35,35
AUDREY,OLIVIER,ARGONAUTS TOWN,2006,16,34,36
KARL,BERRY,ARIZONA BANG,2006,4,12,37
VAL,BOLGER,ARK RIDGEMONT,2006,9,37,38
AUDREY,OLIVIER,ARMAGEDDON LOST,2006,9,34,39
ED,CHASE,ARMY FLINTSTONES,2006,6,3,40
MILLA,PECK,ARSENIC INDEPENDENCE,2006,7,33,41
ED,CHASE,ARTIST COLDBLOODED,2006,15,3,42
SANDRA,KILMER,ARTIST COLDBLOODED,2006,15,23,42
WOODY,HOFFMAN,ATLANTIS CAUSE,2006,8,28,43
AUDREY,OLIVIER,ATLANTIS CAUSE,2006,8,34,43
DAN,TORN,ATTACKS HATE,2006,14,18,44
UMA,WOOD,ATTRACTION NEWTON,2006,13,13,45
BURT,DUKAKIS,AUTUMN CROW,2006,9,36,46
NICK,WAHLBERG,BABY HALL,2006,9,2,47
MATTHEW,JOHANSSON,BABY HALL,2006,9,8,47
MILLA,PECK,BACKLASH UNDEFEATED,2006,1,33,48
TIM,HACKMAN,BADMAN DAWN,2006,13,32,49
JUDY,DEAN,BAKED CLEOPATRA,2006,9,35,50
TIM,HACKMAN,BALLOON HOMEWARD,2006,11,32,51
JUDY,DEAN,BALLROOM MOCKINGBIRD,2006,9,35,52
BETTE,NICHOLSON,BANG KWAI,2006,8,6,53
SANDRA,PECK,BANG KWAI,2006,8,30,53
JOHNNY,LOLLOBRIGIDA,BANGER PINOCCHIO,2006,12,5,54
LUCILLE,TRACY,BANGER PINOCCHIO,2006,12,20,54
SISSY,SOBIESKI,BARBARELLA STREETCAR,2006,6,31,55
JENNIFER,DAVIS,BAREFOOT MANCHURIAN,2006,1,4,56
ELVIS,MARX,BAREFOOT MANCHURIAN,2006,1,22,56
MILLA,PECK,BAREFOOT MANCHURIAN,2006,1,33,56
AUDREY,OLIVIER,BASIC EASY,2006,14,34,57
WOODY,HOFFMAN,BEACH HEARTBREAKERS,2006,6,28,58
SISSY,SOBIESKI,BEAR GRACELAND,2006,6,31,59
BETTE,NICHOLSON,BEAST HUNCHBACK,2006,4,6,60
SANDRA,PECK,BEAUTY GREASE,2006,5,30,61
JENNIFER,DAVIS,BED HIGHBALL,2006,6,4,62
LUCILLE,TRACY,BEDAZZLED MARRIED,2006,8,20,63
SANDRA,PECK,BEETHOVEN EXORCIST,2006,7,30,64
TIM,HACKMAN,BEHAVIOR RUNAWAY,2006,11,32,65
MILLA,PECK,BENEATH RUSH,2006,11,33,66
GRACE,MOSTEL,BERETS AGENT,2006,1,7,67
CUBA,OLIVIER,BETRAYED REAR,2006,11,15,68
SANDRA,PECK,BEVERLY OUTLAW,2006,14,30,69
BETTE,NICHOLSON,BIKINI BORROWERS,2006,2,6,70
GOLDIE,BRODY,BILKO ANONYMOUS,2006,8,39,71
SANDRA,PECK,BILL OTHERS,2006,6,30,72
GOLDIE,BRODY,BINGO TALENTED,2006,14,39,73
JOE,SWANK,BIRCH ANTITRUST,2006,12,9,74
WOODY,HOFFMAN,BIRCH ANTITRUST,2006,12,28,74
ALEC,WAYNE,BIRD INDEPENDENCE,2006,11,29,75
TIM,HACKMAN,BIRDCAGE CASPER,2006,15,32,76
SANDRA,PECK,BIRDS PERDITION,2006,13,30,77
